SN,Age,Know_PP_growup,Red_Own_bag,Red_Own_bottle,Tell_not_throw,Desposing_P_correctly,Follow_3R,Avoid_single_use,Follow_Redu_PP,Percep_PP_10yrs,Know_MPP,Know_PP_smaller,Microfibers_wash,Microbeads_cosmetic,Fishing nets,Thinking MPP-not good,Thinking MPP - should reduce
1,16,Yes,1,1,1,1,1,1,Yes,Increase,Yes,1,2,1,1,0,0
2,18,Yes,0,1,0,0,0,1,Yes,Increase,Maybe,1,0,0,1,0,0
3,17,Yes,0,1,0,0,1,0,No,Increase,Yes,1,2,0,0,1,1
4,17,Yes,1,1,0,0,1,1,Yes,Increase,Yes,0,2,0,1,0,0
5,15,Yes,1,0,0,1,0,0,Yes,Decrease,Maybe,0,0,0,0,1,1
6,17,Yes,1,1,0,1,0,1,Maybe,Increase,Yes,0,0,0,0,1,0
7,17,Yes,1,0,1,0,0,0,Maybe,Neutral,Yes,0,0,0,0,0,0
8,18,Yes,0,0,0,1,0,0,Yes,Increase,Yes,0,0,0,0,1,1
9,17,Yes,1,1,1,0,1,1,Maybe,Increase,Yes,1,2,1,0,0,0
10,17,Yes,0,0,0,0,0,0,Yes,Increase,Yes,0,0,0,0,0,1
11,17,No,1,1,1,1,1,1,Maybe,Decrease,No,0,0,0,0,0,0
12,19,Yes,1,1,1,1,1,1,Maybe,Increase,Yes,0,0,0,0,1,0
13,19,Yes,1,0,0,0,1,0,Yes,Increase,Yes,0,0,0,0,1,1
14,17,Yes,1,1,1,1,1,1,Yes,Increase,Yes,1,2,1,1,0,0
15,14,No,0,0,1,0,0,0,Yes,Increase,No,0,0,0,0,0,0
16,17,Yes,0,0,1,1,1,0,Yes,Neutral,Yes,0,0,0,0,0,0
17,18,Yes,0,0,0,1,1,0,Maybe,Increase,Maybe,1,0,0,1,1,1
18,17,Yes,1,1,1,1,1,1,Maybe,Neutral,Maybe,1,2,1,1,0,0
19,17,Yes,0,1,0,0,0,0,Maybe,Increase,Maybe,0,2,1,0,0,0
20,18,Yes,1,0,0,1,1,1,Maybe,Increase,No,0,0,0,0,0,1
21,18,Yes,1,0,0,1,0,0,Maybe,Neutral,Maybe,0,0,0,0,1,0
22,17,Yes,1,1,0,0,1,1,Maybe,Increase,Yes,1,2,1,1,0,0
23,17,Maybe,1,1,0,0,0,0,Maybe,Increase,Yes,0,0,1,1,0,0
24,16,Yes,0,0,1,1,0,1,Yes,Increase,0,1,1,0,0,1,0
25,18,Yes,1,0,0,1,0,1,Yes,Increase,0,0,0,0,0,0,1
26,17,Yes,0,0,0,0,0,1,No,Increase,1,0,0,1,0,1,0
27,17,Yes,1,1,0,0,1,0,Yes,Increase,1,0,1,1,1,0,1
28,15,Yes,1,0,1,0,1,1,Yes,Decrease,0,0,0,0,1,1,0
29,17,Yes,1,1,1,0,1,1,Maybe,Increase,0,0,0,1,0,1,1
30,17,Yes,1,1,1,0,1,0,Maybe,Neutral,0,1,0,0,0,0,1
31,18,Yes,1,1,0,0,1,0,Yes,Increase,0,1,0,0,0,0,0
32,17,Yes,0,0,1,0,0,1,Maybe,Increase,1,1,0,1,0,0,0
33,17,Yes,1,1,0,0,1,1,Yes,Increase,0,0,0,1,1,0,0
34,17,No,1,0,1,0,1,0,Maybe,Decrease,1,0,1,1,1,0,0
35,19,Yes,0,1,0,0,0,1,Maybe,Increase,1,1,1,1,1,0,0
36,19,Yes,1,0,1,0,1,1,Yes,Increase,0,1,0,0,1,0,0
37,17,Yes,0,0,1,0,0,1,Yes,Increase,0,1,1,1,1,1,1
38,14,No,1,1,0,0,1,0,Yes,Increase,0,1,0,1,0,1,1
39,17,Yes,0,0,0,0,0,1,Yes,Neutral,1,0,1,1,1,0,1
40,18,Yes,0,0,0,0,1,0,Maybe,Increase,0,1,1,0,1,1,1
41,17,Yes,0,1,1,1,0,1,Maybe,Neutral,1,0,0,1,0,1,0
42,17,Yes,1,0,0,0,0,1,Maybe,Increase,0,1,1,0,0,1,1
43,18,Yes,0,0,0,1,1,0,Maybe,Increase,0,0,0,1,0,0,1
44,18,Yes,1,1,1,1,0,0,Maybe,Neutral,0,0,0,0,0,1,1
45,17,Yes,0,1,1,1,1,1,Maybe,Increase,0,0,0,1,1,0,1
46,17,Maybe,1,1,0,0,0,1,Maybe,Increase,1,1,0,0,0,1,0
47,18,Yes,0,0,1,1,0,1,Maybe,Neutral,1,0,1,0,0,1,1
48,17,Yes,0,0,0,1,1,1,Maybe,Increase,0,1,1,1,1,1,0
49,17,Maybe,0,1,0,0,1,0,Maybe,Increase,1,1,1,1,0,1,1
